team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
GEEKAY ESPORTS;ARCHIE$;23;10;43.48;9433;410.13;23;1;10;0.43;44;1.91;73;3.17;188;8.17;58;2.52;18;0.78;31.51;426.42;47.28;57068;2481.22;40251;1750.04;16817;731.17;490;21.3;1429;62.13;13842;601.83;8746;380.26;5096;221.57;101;4.39;441;19.17;954.44;41.5;848.23;36.88;8976;390.26;9002;391.39;1362;59.22;1601.45;12316779;535512.12;3376.89;146.82;3232.11;140.53;1577.16;68.57;4543.18;197.53;3063.44;133.19;579.56;25.2;142.78;6.21;0.11;1264;54.96;2904;126.26;2487.9;108.17;2262.84;98.38;5923.33;257.54;5128.69;222.99;3057.41;132.93;3801.45;165.28;2588.8;112.56;1795.92;78.08;2911.34;2886.95;2949.62;3699.69;32;1.39;39;1.7
DIGNITAS;ApparentlyJack;22;10;45.45;7983;362.86;14;0.64;10;0.45;38;1.73;64;2.91;201;9.14;41;1.86;12;0.55;21.88;463.53;51.7;64677;2939.86;43030;1955.91;21647;983.95;521;23.68;1903;86.5;15206;691.18;8430;383.18;6776;308;105;4.77;606;27.55;873.82;39.72;877.46;39.88;11945;542.95;9667;439.41;2190;99.55;1647.8;13099606;595436.62;3148.22;143.1;3204.88;145.68;1964.41;89.29;4645.71;211.17;3104.28;141.1;567.49;25.8;169.75;7.72;0.08;1998;90.82;2451.6;111.44;3148;143.09;2673.5;121.52;5644.05;256.55;5313.88;241.54;3003.58;136.53;3863.56;175.62;2708.22;123.1;1745.75;79.35;2926.08;2783.92;3035.29;3743.11;48;2.18;36;1.64
NRG ESPORTS;Atomic;36;19;52.78;12456;346;23;0.64;14;0.39;59;1.64;85;2.36;260;7.22;54;1.5;23;0.64;27.06;416.66;48.4;89555;2487.64;61348;1704.11;28207;783.53;742;20.61;2472;68.67;20249;562.47;11933;331.47;8316;231;141;3.92;728;20.22;1698.02;47.17;1368.04;38;13082;363.39;12754;354.28;2427;67.42;1606.95;19893186;552588.5;5237.3;145.48;5370.73;149.19;2313.59;64.27;7023.75;195.1;5001.15;138.92;896.78;24.91;313.05;8.7;0.12;2734;75.94;4342.7;120.63;3797.4;105.48;3178.75;88.3;9742.93;270.64;8206.83;227.97;4714.87;130.97;5991.1;166.42;4253.03;118.14;2677.51;74.38;2746.18;2695.8;2784.45;3605.85;43;1.19;47;1.31
KARMINE CORP;Atow.;26;21;80.77;9238;355.31;17;0.65;10;0.38;41;1.58;85;3.27;187;7.19;32;1.23;15;0.58;20;438.38;49.46;66422;2554.69;40505;1557.88;25917;996.81;497;19.12;2295;88.27;16641;640.04;8371;321.96;8270;318.08;102;3.92;750;28.85;901.88;34.69;829.56;31.91;10374;399;9609;369.58;1764;67.85;1636.44;14253729;548220.38;3459.61;133.06;3941.94;151.61;1736.33;66.78;4952.4;190.48;3427.43;131.82;758.03;29.15;167.66;6.45;0.09;1883;72.42;3017;116.04;2934.1;112.85;2209.35;84.97;6928.54;266.48;5573.16;214.35;3564.74;137.11;3944.2;151.7;3158.45;121.48;2035.22;78.28;2790.58;2715.99;2868.06;3639.8;50;1.92;34;1.31
NRG ESPORTS;BeastMode;36;19;52.78;13018;361.61;22;0.61;16;0.44;56;1.56;104;2.89;260;7.22;54;1.5;15;0.42;21.15;443.75;50.02;95266;2646.28;68267;1896.31;26999;749.97;850;23.61;2328;64.67;23772;660.33;14488;402.44;9284;257.89;175;4.86;781;21.69;1506.16;41.84;1702.13;47.28;16357;454.36;17490;485.83;3256;90.44;1632.14;20189064;560807.31;4960.72;137.8;5239.74;145.55;2712.84;75.36;6785.97;188.5;4938.91;137.19;1188.47;33.01;182.04;5.06;0.1;1771;49.19;3750.7;104.19;4624.2;128.45;3827.5;106.32;9085.88;252.39;7845.33;217.93;5068.02;140.78;5650.65;156.96;4179.33;116.09;3083.38;85.65;2681.35;2524.46;2841.8;3665.88;59;1.64;50;1.39
GENG MOBIL 1;CHEESE.;20;9;45.00;8395;419.75;18;0.9;5;0.25;39;1.95;54;2.7;168;8.4;40;2;10;0.5;33.33;432.56;52.95;54337;2716.85;36391;1819.55;17946;897.3;451;22.55;1561;78.05;12816;640.8;7843;392.15;4973;248.65;90;4.5;440;22;936.91;46.85;809.5;40.47;9933;496.65;9416;470.8;1224;61.2;1554.04;11097945;554897.25;3314.9;165.75;2913.66;145.68;1295.93;64.8;4251.31;212.57;2742.77;137.14;530.43;26.52;140.53;7.03;0.12;1159;57.95;2608.8;130.44;2459.5;122.98;2234.5;111.72;5290.03;264.5;5093.44;254.67;2431.09;121.55;3777.17;188.86;2426.4;121.32;1320.93;66.05;2998.94;2960.29;3028.79;3948.98;32;1.6;29;1.45
LUMINOSITY;Catalysm;19;7;36.84;7695;405;19;1;8;0.42;28;1.47;59;3.11;166;8.74;57;3;22;1.16;32.2;398.46;49.47;45758;2408.32;30911;1626.89;14847;781.42;357;18.79;1286;67.68;9573;503.84;5646;297.16;3927;206.68;63;3.32;346;18.21;968.18;50.96;405.43;21.34;4118;216.74;4714;248.11;620;32.63;1527.09;9770257;514224.06;3101.39;163.23;2789.07;146.79;948.17;49.9;3438.11;180.95;2891.78;152.2;508.71;26.77;163.17;8.59;0.07;2179;114.68;2439.9;128.42;1966.2;103.48;1787.03;94.05;5051.56;265.87;4509.93;237.36;2328.68;122.56;3375.43;177.65;2147.67;113.04;1315.5;69.24;2810.35;2676.5;2931.38;3697.46;15;0.79;30;1.58
THE ULTIMATES;Chronic;33;18;54.55;10518;318.73;15;0.45;13;0.39;52;1.58;72;2.18;270;8.18;54;1.64;10;0.3;20.83;395.31;51.77;78569;2380.88;50497;1530.21;28072;850.67;595;18.03;2464;74.67;18364;556.48;9908;300.24;8456;256.24;110;3.33;723;21.91;1302.75;39.48;1113.48;33.74;9019;273.3;9965;301.97;1362;41.27;1507.85;16936746;513234.72;5652.48;171.29;4564.79;138.33;1557.12;47.19;6736.95;204.15;4166.75;126.27;870.75;26.39;209.45;6.35;0.13;1657;50.21;3911.9;118.54;3724.6;112.87;3263.4;98.89;8511.04;257.91;7528.75;228.14;4245.61;128.65;5522.07;167.34;3948.05;119.64;2304.29;69.83;2720.62;2584.81;2850.29;3508.65;23;0.7;46;1.39
FURIA;DRUFINHO;31;17;54.84;11834;381.74;21;0.68;12;0.39;58;1.87;78;2.52;311;10.03;61;1.97;23;0.74;26.92;439.81;42.12;81190;2619.03;52773;1702.35;28417;916.68;609;19.65;2323;74.94;16996;548.26;9566;308.58;7430;239.68;108;3.48;612;19.74;1831.43;59.08;923.29;29.78;17706;571.16;7736;249.55;1238;39.94;1552.26;16816814;542477.88;5200.92;167.77;4290.6;138.41;1909.95;61.61;6555.73;211.48;3992.14;128.78;853.54;27.53;312.72;10.09;0.11;2881;92.94;3997.1;128.94;3481.2;112.3;3096;99.87;8305.42;267.92;7750.87;250.03;3650.57;117.76;5819.17;187.72;3504.08;113.03;2078.16;67.04;2821.67;2748.84;2879.65;3509.75;59;1.9;42;1.35
NRG ESPORTS;Daniel;36;19;52.78;12090;335.83;11;0.31;18;0.5;60;1.67;111;3.08;260;7.22;54;1.5;16;0.44;9.91;450.46;49.77;98176;2727.11;70567;1960.19;27609;766.92;814;22.61;2417;67.14;24994;694.28;16734;464.83;8260;229.44;187;5.19;728;20.22;1881.26;52.26;1559.76;43.33;21112;586.44;11773;327.03;2044;56.78;1635.17;20285724;563492.31;5093.8;141.49;4889.57;135.82;2977.06;82.7;6960.98;193.36;4895.7;135.99;1103.72;30.66;249.52;6.93;0.11;2249;62.47;4746.2;131.84;4110.6;114.18;3363.83;93.44;9596.54;266.57;8318.65;231.07;4641.71;128.94;6151.39;170.87;4094.64;113.74;2714.32;75.4;2970.5;2845.67;3081.13;3739.24;79;2.19;33;0.92
COMPLEXITY;Diaz;15;6;40.00;6378;425.2;12;0.8;8;0.53;32;2.13;51;3.4;146;9.73;32;2.13;7;0.47;23.53;392.91;52.2;39115;2607.67;25736;1715.73;13379;891.93;321;21.4;1167;77.8;10851;723.4;6211;414.07;4640;309.33;76;5.07;391;26.07;523.18;34.88;688.05;45.87;5802;386.8;7006;467.07;1541;102.73;1524;8565929;571061.94;2776.72;185.11;2185.39;145.69;934.51;62.3;3410.62;227.37;2022.42;134.83;463.59;30.91;130.06;8.67;0.1;1270;84.67;2044;136.27;1858.1;123.87;1701.49;113.43;4195.14;279.68;3815.15;254.34;2081.46;138.76;2784.45;185.63;1901.26;126.75;1210.92;80.73;2748.42;2586.82;2900.79;3618.71;26;1.73;31;2.07
TEAM VITALITY;ExoTiiK;25;14;56.00;8711;348.44;19;0.76;13;0.52;35;1.4;72;2.88;187;7.48;44;1.76;15;0.6;26.39;433.93;45.25;63121;2524.84;44619;1784.76;18502;740.08;516;20.64;1494;59.76;14740;589.6;8309;332.36;6431;257.24;96;3.84;529;21.16;1416.91;56.68;853.71;34.15;10372;414.88;6685;267.4;1301;52.04;1543.43;12952066;518082.62;3975.6;159.02;3522.58;140.9;1345.55;53.82;4843.07;193.72;3325.37;133.01;675.33;27.01;139.24;5.57;0.14;1035;41.4;2790.2;111.61;2974.3;118.97;2500.6;100.02;6343.1;253.72;5105.22;204.21;3738.52;149.54;3538.67;141.55;3234.02;129.36;2071.06;82.84;2752.67;2699.06;2798.41;3543.68;33;1.32;43;1.72
WILDCARD;Fever;17;6;35.29;7292;428.94;14;0.82;16;0.94;36;2.12;42;2.47;166;9.76;52;3.06;27;1.59;33.33;418.25;50.66;45575;2680.88;30054;1767.88;15521;913;364;21.41;1424;83.76;11076;651.53;5689;334.65;5387;316.88;71;4.18;485;28.53;618.29;36.37;667.24;39.25;7016;412.71;6638;390.47;1450;85.29;1617.9;9810823;577107.25;2667.23;156.9;2466.56;145.09;1323.92;77.88;3346.03;196.83;2618.27;154.02;493.39;29.02;148.22;8.72;0.11;1299;76.41;2261;133;1945.1;114.42;1886.6;110.98;4571.06;268.89;4023.24;236.66;2434.44;143.2;2902.58;170.74;2231.75;131.28;1323.35;77.84;2849.98;2760.37;2920.24;3689.17;25;1.47;33;1.94
HELFIE CHIEFS;Fiberr;11;2;18.18;3822;347.45;8;0.73;4;0.36;16;1.45;27;2.45;94;8.55;40;3.64;9;0.82;29.63;420.04;46.05;27827;2529.73;20119;1829;7708;700.73;229;20.82;674;61.27;7132;648.36;4394;399.45;2738;248.91;49;4.45;232;21.09;528.2;48.02;367.96;33.45;2891;262.82;2948;268;556;50.55;1546.84;5739208;521746.19;1770.44;160.95;1580.74;143.7;607.41;55.22;2002.65;182.06;1689.16;153.56;266.81;24.26;121.76;11.07;0.11;1131;102.82;1110.3;100.94;1340.6;121.87;1269.29;115.39;2689.34;244.49;2489.87;226.35;1468.77;133.52;1795.02;163.18;1308.26;118.93;855.32;77.76;2808.02;2640.94;2961.23;3692.91;12;1.09;9;0.82
THE ULTIMATES;Firstkiller;33;18;54.55;14072;426.42;21;0.64;22;0.67;64;1.94;99;3;270;8.18;54;1.64;23;0.7;21.21;435.47;48.51;85018;2576.3;57959;1756.33;27059;819.97;699;21.18;2288;69.33;19302;584.91;11155;338.03;8147;246.88;128;3.88;707;21.42;1564.96;47.42;1688.65;51.17;11961;362.45;12232;370.67;1860;56.36;1565.63;17575408;532588.12;5159.1;156.34;4446.83;134.75;2157.29;65.37;6351.63;192.47;4431.74;134.3;979.88;29.69;257.78;7.81;0.12;2172;65.82;4012.3;121.58;3761.2;113.98;3202.12;97.03;8561.12;259.43;7580.57;229.71;4182.59;126.75;5712.13;173.09;3640.93;110.33;2410.16;73.04;2571.28;2418.36;2704.51;3482.7;39;1.18;49;1.48
GEEKAY ESPORTS;Joyo;23;10;43.48;8182;355.74;17;0.74;17;0.74;28;1.22;55;2.39;188;8.17;58;2.52;14;0.61;30.91;453.01;45.49;61236;2662.43;41815;1818.04;19421;844.39;480;20.87;1658;72.09;15436;671.13;9024;392.35;6412;278.78;98;4.26;528;22.96;1109.66;48.25;756.51;32.89;9087;395.09;6452;280.52;770;33.48;1563.32;12060594;524373.62;3641.56;158.33;3179.34;138.23;1388;60.35;4184.2;181.92;3301.6;143.55;723.03;31.44;194.6;8.46;0.09;2144;93.22;2561.8;111.38;2724.8;118.47;2370.11;103.05;5838.76;253.86;5108.75;222.12;3100.14;134.79;3648.44;158.63;2696.86;117.25;1863.61;81.03;2866.82;2684.65;3038.05;3736.04;19;0.83;32;1.39
TEAM FALCONS;Kiileerrz;29;17;58.62;11213;386.66;28;0.97;11;0.38;46;1.59;97;3.34;222;7.66;55;1.9;21;0.72;28.87;451.93;46.22;76830;2649.31;51006;1758.83;25824;890.48;593;20.45;2179;75.14;16508;569.24;8545;294.66;7963;274.59;98;3.38;645;22.24;1307.39;45.08;942.57;32.5;9729;335.48;8701;300.03;1325;45.69;1577.2;15514415;534979.81;4411.85;152.13;4315.24;148.8;1702.47;58.71;5643.45;194.6;4090.71;141.06;695.38;23.98;254.49;8.78;0.11;2386;82.28;3280.7;113.13;3393.1;117;2756.76;95.06;7672.83;264.58;6467;223;3962.56;136.64;4623.81;159.44;3629.09;125.14;2176.65;75.06;2797.75;2735.58;2848.42;3633.15;26;0.9;39;1.34
TWISTED MINDS;LTK_AtomiK;24;14;58.33;9760;406.67;22;0.92;23;0.96;42;1.75;77;3.21;204;8.5;54;2.25;14;0.58;28.57;396.19;52.39;57811;2408.79;37129;1547.04;20682;861.75;460;19.17;1852;77.17;14287;595.29;8010;333.75;6277;261.54;95;3.96;540;22.5;484.85;20.2;897.08;37.38;6228;259.5;9625;401.04;1762;73.42;1608.59;13085059;545210.81;3591.38;149.64;3544.8;147.7;1522.63;63.44;4615.68;192.32;3473.13;144.71;569.97;23.75;174.44;7.27;0.11;1539;64.12;2618.6;109.11;2869.2;119.55;2331.95;97.16;6326.87;263.62;5528.28;230.34;3130.49;130.44;4022.04;167.58;2828.87;117.87;1807.87;75.33;2871.09;2798.47;2923.88;3729.86;30;1.25;36;1.5
FUT ESPORTS;Leoro;14;5;35.71;5174;369.57;7;0.5;7;0.5;29;2.07;29;2.07;150;10.71;39;2.79;16;1.14;24.14;413.67;41.86;33733;2409.5;25116;1794;8617;615.5;290;20.71;752;53.71;5575;398.21;3558;254.14;2017;144.07;39;2.79;179;12.79;954.83;68.2;443.09;31.65;4550;325;3484;248.86;347;24.79;1520.66;7334357;523882.66;2407.65;171.97;1946.98;139.07;754.35;53.88;2715.07;193.93;2017.75;144.13;376.15;26.87;96.17;6.87;0.12;833;59.5;1730.7;123.62;1519.1;108.51;1383.18;98.8;3725.83;266.13;3665.48;261.82;1443.54;103.11;2825.1;201.79;1497.03;106.93;786.86;56.2;2739.51;2604.21;2848.8;3490.71;18;1.29;29;2.07
