team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
REDEMPTION;"   JWeyts   ";6;0;0.00;1443;240.5;2;0.33;1;0.17;6;1;12;2;80;13.33;31;5.17;6;1;16.67;381.37;48.95;14451;2408.5;10337;1722.83;4114;685.67;128;21.33;355;59.17;3447;574.5;2212;368.67;1235;205.83;27;4.5;103;17.17;219.21;36.53;274.32;45.72;2033;338.83;2055;342.5;302;50.33;1558.44;3111983;518663.84;984.35;164.06;779.86;129.98;396.73;66.12;1149.13;191.52;887.65;147.94;124.17;20.69;35.97;6;0.12;311;51.83;581.7;96.95;849.3;141.55;775.11;129.18;1385.84;230.97;1502.09;250.35;658.88;109.81;1109.7;184.95;668.82;111.47;382.43;63.74;2665.24;2313.23;2927.35;3671.3;2;0.33;10;1.67
GEEKAY ESPORTS;$ARCHIE;35;26;74.29;14698;419.94;35;1;23;0.66;51;1.46;133;3.8;240;6.86;53;1.51;18;0.51;26.32;421.76;50.01;87913;2511.8;63518;1814.8;24395;697;783;22.37;2132;60.91;23957;684.49;15290;436.86;8667;247.63;181;5.17;743;21.23;1307.9;37.37;1428.81;40.82;15175;433.57;15025;429.29;2981;85.17;1573.65;18809452;537412.94;5395.9;154.17;4914.11;140.4;2317.11;66.2;6982.13;199.49;4792.05;136.92;852.97;24.37;207.09;5.92;0.12;1795;51.29;3931.2;112.32;4363.9;124.68;3706.4;105.9;8920.79;254.88;7420.27;212.01;5206.88;148.77;5501.06;157.17;3813.88;108.97;3312.25;94.64;2948.01;2848.38;3052.44;3777.92;46;1.31;44;1.26
STARTPOINT;AcroniK. 0;23;10;43.48;7750;336.96;14;0.61;9;0.39;34;1.48;47;2.04;222;9.65;55;2.39;25;1.09;29.79;464.66;50.56;63237;2749.43;48558;2111.22;14679;638.22;598;26;1242;54;14793;643.17;10255;445.87;4538;197.3;118;5.13;393;17.09;1028.28;44.71;1039.69;45.2;12150;528.26;11493;499.7;1630;70.87;1646.13;12940662;562637.5;3227.61;140.33;3051.94;132.69;2061.87;89.65;4252.31;184.88;3331.9;144.87;757.19;32.92;162.07;7.05;0.1;1644;71.48;2863.8;124.51;2746.9;119.43;2438.58;106.03;5902.83;256.64;5446.93;236.82;2894.49;125.85;4107.57;178.59;2515.3;109.36;1718.5;74.72;2933.14;2807.09;3048.49;3791.34;27;1.17;18;0.78
DIGNITAS;ApparentlyJack;19;13;68.42;6802;358;12;0.63;8;0.42;34;1.79;56;2.95;152;8;33;1.74;18;0.95;21.43;445.97;54.05;49867;2624.58;33060;1740;16807;884.58;416;21.89;1532;80.63;12342;649.58;7325;385.53;5017;264.05;87;4.58;450;23.68;698.92;36.79;804.19;42.33;8872;466.95;9348;492;1593;83.84;1635.56;10341025;544264.5;2568.8;135.2;2679.9;141.05;1404.78;73.94;3809.79;200.52;2439.29;128.38;404.48;21.29;140.74;7.41;0.09;1584;83.37;2155.4;113.44;2121.8;111.67;1858.97;97.84;4794.55;252.34;4304.83;226.57;2348.69;123.62;3154.17;166.01;2139.86;112.62;1359.54;71.55;2874.36;2841.33;2903.44;3704.1;39;2.05;13;0.68
KARMINE CORP;Atow Rikow !;24;17;70.83;9248;385.33;19;0.79;17;0.71;40;1.67;72;3;179;7.46;34;1.42;9;0.38;26.39;435.24;49.74;61182;2549.25;37084;1545.17;24098;1004.08;452;18.83;2143;89.29;15861;660.88;7481;311.71;8380;349.17;88;3.67;727;30.29;795.08;33.13;786.51;32.77;10550;439.58;9176;382.33;1457;60.71;1644.51;13129135;547047.31;3138.22;130.76;3730.76;155.45;1567.65;65.32;4690.52;195.44;3117.17;129.88;628.9;26.2;145.43;6.06;0.09;1607;66.96;2662.7;110.95;2721.1;113.38;2295.44;95.64;6141.16;255.88;5180.8;215.87;3255.8;135.66;3692;153.83;2849.18;118.72;1895.43;78.98;2804.75;2708.59;2890.82;3676.87;84;3.5;30;1.25
F4WD;Compact;8;2;25.00;2786;348.25;1;0.12;5;0.62;12;1.5;21;2.62;73;9.12;18;2.25;9;1.12;4.76;428.17;45.47;20630;2578.75;14489;1811.12;6141;767.62;174;21.75;535;66.88;5141;642.62;3243;405.38;1898;237.25;37;4.62;159;19.88;408.95;51.12;278.92;34.86;2169;271.12;2977;372.12;490;61.25;1620.12;4588580;573572.5;1133.6;141.7;1285.07;160.63;550.61;68.83;1470.7;183.84;1193.41;149.18;305.19;38.15;48.71;6.09;0.1;498;62.25;922.6;115.33;1040.2;130.02;908.51;113.56;2060.78;257.6;1890.09;236.26;1079.24;134.9;1360.54;170.07;950.17;118.77;658.62;82.33;2770.17;2594.68;2949.12;3736.94;9;1.12;16;2
SYNERGY;Dorito;12;4;33.33;4565;380.42;7;0.58;9;0.75;22;1.83;28;2.33;115;9.58;33;2.75;11;0.92;25;469.98;49.07;33695;2807.92;22970;1914.17;10725;893.75;272;22.67;951;79.25;9106;758.83;5366;447.17;3740;311.67;63;5.25;322;26.83;511.98;42.67;434.07;36.17;5190;432.5;4527;377.25;968;80.67;1616.16;6455804;537983.69;1795.87;149.66;1550.99;129.25;931.36;77.61;2326.78;193.9;1609.5;134.12;341.95;28.5;76.17;6.35;0.12;632;52.67;1264.8;105.4;1486.1;123.84;1322.78;110.23;2955.46;246.29;2713.21;226.1;1565.07;130.42;2014.55;167.88;1321.62;110.14;942.08;78.51;2735.08;2683.98;2749.87;3491.84;10;0.83;12;1
TEAM VITALITY;ExoTiiK;32;18;56.25;10467;327.09;22;0.69;27;0.84;32;1;94;2.94;255;7.97;65;2.03;19;0.59;23.4;399.92;46.91;74763;2336.34;52834;1651.06;21929;685.28;625;19.53;1848;57.75;16332;510.38;9943;310.72;6389;199.66;115;3.59;548;17.12;1631.34;50.98;1158.12;36.19;11530;360.31;9585;299.53;1441;45.03;1533.51;16484910;515153.44;5318.28;166.2;4429.63;138.43;1683.76;52.62;6318.55;197.45;4303.62;134.49;809.47;25.3;168.71;5.27;0.13;1314;41.06;3697.4;115.54;3774.2;117.94;3212.36;100.39;8219.3;256.85;7175.68;224.24;4255.93;133;5235.78;163.62;3743.69;116.99;2452.19;76.63;2742.38;2697.51;2782.91;3454.85;36;1.12;50;1.56
RRG;Gawfs;7;1;14.29;1705;243.57;0;0;6;0.86;7;1;13;1.86;60;8.57;17;2.43;5;0.71;0;391.68;49.68;16662;2380.29;10436;1490.86;6226;889.43;129;18.43;559;79.86;4197;599.57;2184;312;2013;287.57;26;3.71;179;25.57;270.59;38.66;276.08;39.44;2398;342.57;2579;368.43;443;63.29;1563.82;3673143;524734.69;1097.62;156.8;1000.89;142.98;380.55;54.36;1421.66;203.09;834.22;119.17;223.19;31.88;41.05;5.86;0.08;504;72;850.4;121.49;858.1;122.59;764.45;109.21;1714.6;244.94;1613.16;230.45;865.9;123.7;1155.44;165.06;847.6;121.09;475.98;68;2935.7;2811.58;3057.49;3682.34;8;1.14;10;1.43
ASCEND;GiuK;14;6;42.86;5123;365.93;5;0.36;7;0.5;33;2.36;16;1.14;125;8.93;28;2;3;0.21;31.25;437.69;48.05;36911;2636.5;25127;1794.79;11784;841.71;309;22.07;1014;72.43;8425;601.79;4972;355.14;3453;246.64;63;4.5;299;21.36;539.7;38.55;363.31;25.95;7142;510.14;5406;386.14;1021;72.93;1621.1;7805004;557500.31;1981.42;141.53;1970.59;140.76;1088.51;77.75;2656.13;189.72;2077.12;148.37;307.25;21.95;75.3;5.38;0.1;736;52.57;1744.2;124.59;1689.1;120.65;1579.29;112.81;3461.25;247.23;3352.16;239.44;1688.33;120.6;2560.93;182.92;1516.54;108.32;963.04;68.79;2740.44;2589.02;2863.75;3516.25;47;3.36;20;1.43
